epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
92,266.585,1.19887,0.05169,0.30948,0.45304,0.02357,4.41778,0.93994,0.95815,0.94179,0.53219,0.93994,0.95815,0.94996,0.94833,1.44683,0.10459,0.12019,0.45288,0.02796,0,0.0003994,0.0003994,0.0003994
93,269.463,1.26291,0.07275,0.50635,0.56074,0.02442,4.96496,0.93742,0.95918,0.95224,0.56923,0.93742,0.95918,0.95224,0.95224,1.36052,0.10397,0.12144,0.43946,0.02533,0,0.0003928,0.0003928,0.0003928
94,272.322,1.30505,0.06119,0.41115,0.54786,0.0257,4.57129,0.95904,0.95918,0.94229,0.58127,0.95904,0.95918,0.94857,0.94732,1.24431,0.08541,0.12298,0.41908,0.02263,0,0.0003862,0.0003862,0.0003862
95,275.213,1.23955,0.08756,0.42479,0.49352,0.0243,4.94146,0.91799,0.93878,0.9462,0.60261,0.91799,0.93878,0.9462,0.9462,1.21757,0.08627,0.12228,0.4369,0.02259,0,0.0003796,0.0003796,0.0003796
96,278.007,1.17744,0.09717,0.3786,0.44398,0.02293,4.788,0.95814,0.93427,0.94449,0.59582,0.95814,0.93427,0.94574,0.94549,1.23495,0.08651,0.12205,0.42441,0.02297,0,0.000373,0.000373,0.000373
97,280.765,1.21913,0.09436,0.50664,0.57457,0.02252,4.29672,0.92126,0.95513,0.94796,0.5706,0.92126,0.95513,0.94796,0.94796,1.33618,0.08474,0.11872,0.45249,0.02607,0,0.0003664,0.0003664,0.0003664
98,283.517,1.18948,0.06175,0.38687,0.46719,0.02304,4.50137,0.9495,0.91837,0.94521,0.52232,0.9495,0.91837,0.94521,0.94316,1.4674,0.09172,0.11788,0.49444,0.03083,0,0.0003598,0.0003598,0.0003598
99,286.274,1.20859,0.15521,0.39817,0.56587,0.0228,4.66175,0.92086,0.95918,0.94565,0.52565,0.92086,0.95918,0.94565,0.94353,1.49799,0.08943,0.11878,0.4859,0.03192,0,0.0003532,0.0003532,0.0003532
100,289.041,1.22726,0.09343,0.47268,0.48463,0.02368,4.06489,0.9191,0.95918,0.94342,0.53456,0.9191,0.95918,0.94675,0.94575,1.44126,0.07112,0.12027,0.46752,0.03002,0,0.0003466,0.0003466,0.0003466
101,291.812,1.18766,0.06946,0.45075,0.4726,0.02238,4.36471,0.91823,0.95918,0.94687,0.5638,0.91823,0.95918,0.9504,0.94934,1.37421,0.06685,0.12851,0.4366,0.02712,0,0.00034,0.00034,0.00034
102,294.557,1.15151,0.09321,0.4446,0.50691,0.02207,4.27092,0.91926,0.95918,0.94437,0.56407,0.91926,0.95918,0.94437,0.94437,1.35809,0.06525,0.1293,0.4343,0.02624,0,0.0003334,0.0003334,0.0003334
